"ID","Name","Distance (mi)","Moving time (s)","Elapsed time (s)","Elevation gain (ft)","Avg speed (mph)","Max speed (mph)","Avg cadence","Avg temp (C)","Avg HR","Max HR","Calories","Shoes","Start timestamp (local)","Start Lat","Start Lng","End Lat","End Lng","City","State","Country","Achievements","Kudos","Workout type"
"167470436","07/17/2014 Berkeley, CA","5.00564205043","3013","3309","708.333333333","5.98156764495","7.82927702219","92.6","","158.5","179","693.0","Saucony Kinvara 5","2014-7-17 20:23:26","37.87","-122.28","37.88","-122.27","Berkeley","CA","United States","7","1","0"
"168936013","07/19/2014 Berkeley, CA","5.05125069594","2776","4751","557.742782152","6.54974946314","11.6320687187","92.0","","","","724.4","Altra Lone Peak 1.5","2014-7-19 8:59:27","37.91","-122.26","37.91","-122.26","Berkeley","CA","United States","0","0","0"
"170710874","07/24/2014 Berkeley, CA","6.20973514674","3783","4047","851.049868766","5.90998568361","10.2899069435","92.5","","","","843.5","Saucony Kinvara 5","2014-7-24 21:18:5","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","2","0","0"
"171870494","Lone Oak to Vollmer","9.12477382089","6146","7811","1811.35170604","5.34404080172","9.39513242663","82.4","","","","1304.4","Altra Lone Peak 1.5","2014-7-26 9:16:26","37.91","-122.26","37.91","-122.26","Berkeley","CA","United States","0","0","2"
"173825080","Quick 5K","3.10524039609","1576","4713","158.464566929","7.0933249821","9.61882605583","94.4","","","","410.4","Saucony Stabil CS2","2014-7-31 19:37:15","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","2","1","0"
"174613443","First run in Marin headlands","10.0162550704","6606","8450","1461.28608924","5.45812455261","8.72405153901","84.2","","","","1459.1","Altra Lone Peak 1.5","2014-8-2 8:50:31","37.86","-122.58","37.86","-122.58","","","United States","0","1","2"
"176143523","08/05/2014 Berkeley, CA","4.05755388531","2002","2080","183.398950131","7.29688618468","8.72405153901","96.3","","166.5","180","532.2","Saucony Kinvara 5","2014-8-5 20:18:19","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","3","1","0"
"177126121","The shortest way to the top is straight!","5.06150332061","2993","3211","915.682414698","6.08894058697","10.2899069435","86.9","","162.6","187","718.6","Saucony Kinvara 5","2014-8-7 20:1:27","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","5","6","0"
"177926186","Vollmer #2 and so much explore","12.056465243","8181","11669","2519.02887139","5.30601288475","9.17143879742","81.9","","159.3","179","1782.5","Altra Lone Peak 1.5","2014-8-9 8:51:11","37.91","-122.26","37.91","-122.26","Berkeley","CA","United States","3","4","2"
"178577803","Birthday eve recovery run","4.06128211246","2586","2601","160.761154856","5.65273801002","10.5136005727","91.8","","139.6","155","531.6","Saucony Stabil CS2","2014-8-10 20:37:37","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","4","0"
"179479902","New 10K PR","7.02050027837","3358","3442","280.183727034","7.52729062276","10.7372942019","95.7","","172.0","185","920.0","Saucony Kinvara 5","2014-8-12 20:12:51","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","7","5","0"
"180390375","South and back","3.21385608049","1561","1615","86.6141732283","7.41096993558","10.0662133142","92.2","","","","419.7","Saucony Kinvara 5","2014-8-14 21:17:44","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","3","0"
"181147886","Cinderella Trail Half Marathon, 2014","13.1541795912","9227","9362","2691.92913386","5.05771295634","16.5533285612","77.6","","170.1","187","2159.5","Altra Lone Peak 1.5","2014-8-16 7:59:54","37.81","-122.18","37.81","-122.18","Oakland","CA","United States","1","4","1"
"181791921","Slow Recovery Run","4.36743169888","2568","2720","183.398950131","6.12249463135","12.7505368647","90.6","","","","571.1","Saucony Kinvara 5","2014-8-17 20:38:46","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","4","0"
"184998122","First run at some real altitude!","6.69682802434","5169","5965","1657.15223097","4.66401216893","9.84251968504","74.7","","163.0","178","1056.9","Altra Lone Peak 1.5","2014-8-24 9:38:6","38.96","-119.93","38.96","-119.93","","","","0","4","0"
"185902288","Dog attack!","6.10894873936","3483","3664","898.950131234","6.31487115247","10.2899069435","87.2","20","164.2","185","840.3","Saucony Kinvara 5","2014-8-26 21:6:30","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","6","4","0"
"186811058","Just couldn't find the Clark Kerr track","6.38570746838","3275","3426","511.811023622","7.01950608447","11.6320687187","91.8","20","163.1","183","854.6","Saucony Kinvara 5","2014-8-28 20:3:30","37.87","-122.28","37.87","-122.27","Berkeley","CA","United States","6","2","0"
"186811043","Slow run back home","0.778515966754","428","428","22.9658792651","6.54751252684","14.7637795276","86.1","19","150.6","162","102.1","Saucony Kinvara 5","2014-8-28 21:21:50","37.87","-122.27","37.87","-122.28","Berkeley","CA","United States","0","1","0"
"187618067","25K!","15.7581598465","11239","15380","2585.30183727","5.04652827487","17.8954903364","76.4","29","","","2211.8","Altra Lone Peak 1.5","2014-8-30 10:28:7","37.91","-122.26","37.91","-122.26","Berkeley","CA","United States","3","4","2"
"188229994","Just forcing it","1.05807086614","640","684","42.6509186352","5.95248747316","25.2773801002","85.1","24","","","139.9","Altra Lone Peak 1.5","2014-8-31 23:4:22","38.04","-120.23","38.04","-120.23","Twain Harte","California","United States","0","2","0"
"189608803","Starting the week","7.43278006442","3674","4088","511.811023622","7.28346456693","16.7770221904","94.6","20","165.8","184","984.6","Saucony Kinvara 5","2014-9-3 20:2:12","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","3","0"
"189608706","Cooling down","0.561595283544","372","375","0.0","5.43575518969","7.15819613457","88.8","19","144.7","151","73.5","Saucony Kinvara 5","2014-9-3 21:11:50","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","0","0"
"190249879","Forcing tired legs to climb","7.2364889048","4083","4240","672.572178478","6.37974230494","15.211166786","91.6","19","158.9","178","967.8","Altra Lone Peak 1.5","2014-9-4 19:18:57","37.87","-122.28","37.88","-122.27","Berkeley","CA","United States","0","0","0"
"190249404","Cooling down","0.301924262308","178","184","0.0","6.10683607731","7.38188976378","89.7","19","148.8","156","36.1","Altra Lone Peak 1.5","2014-9-4 20:30:30","37.88","-122.27","37.87","-122.28","Berkeley","CA","United States","0","0","0"
"190886960","A run to question all motivation","15.1459849479","10106","12425","1899.60629921","5.39549033644","11.6320687187","79.0","27","154.3","178","2084.5","Altra Lone Peak 1.5","2014-9-6 10:57:51","38.05","-122.77","38.05","-122.77","Point Reyes Station","California","United States","0","4","2"
"191495686","Run miles while the Sun shines!","4.2091063191","2107","2301","111.54855643","7.19175017895","8.94774516822","89.8","19","","","553.9","Altra Lone Peak 2.0","2014-9-7 18:53:58","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","8","5","0"
"191933825","Started with extreme boredom, but finished strong","6.26472649726","3208","3350","262.467191601","7.03069076593","9.17143879742","92.0","17","152.7","172","825.7","Saucony Kinvara 5","2014-9-8 19:26:39","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","2","4",""
"192872166","That climb just doesn't end! This run finishes 50+ mi in the last 8 days!!!","9.02367672791","4756","5014","856.299212598","6.82936649964","12.3031496063","86.9","19","159.7","180","1210.4","Altra Lone Peak 2.0","2014-9-10 19:14:2","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","3","0"
"193300766","Increased mileage + gym + biking = really tired legs","4.12180366659","2289","2383","209.973753281","6.48264137437","12.7505368647","89.4","20","","","541.9","Saucony Kinvara 5","2014-9-11 19:1:52","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","1",""
"194077668","Mt. Tam summit from Stinson Beach. Sufferfest in extreme heat!","17.0435904319","12317","18554","3395.66929134","4.98165712241","18.5665712241","74.6","28","157.2","178","2440.8","Altra Lone Peak 1.5","2014-9-13 8:9:26","37.9","-122.64","37.9","-122.64","Stinson Beach","California","United States","0","5","2"
